item,ibge
http://www.wikidata.org/entity/Q1868533,1507706
http://www.wikidata.org/entity/Q2289887,1507755
http://www.wikidata.org/entity/Q609027,1507805
http://www.wikidata.org/entity/Q1016643,1507904
http://www.wikidata.org/entity/Q2289846,1507953
http://www.wikidata.org/entity/Q2289951,1507961
http://www.wikidata.org/entity/Q2003795,1507979
http://www.wikidata.org/entity/Q1805230,1508001
http://www.wikidata.org/entity/Q2008789,1508035
http://www.wikidata.org/entity/Q2009409,1508050
http://www.wikidata.org/entity/Q22060188,1508084
http://www.wikidata.org/entity/Q374432,1508100
http://www.wikidata.org/entity/Q2008337,1508126
http://www.wikidata.org/entity/Q2009083,1508159
http://www.wikidata.org/entity/Q1804913,1508209
http://www.wikidata.org/entity/Q772569,1508308
http://www.wikidata.org/entity/Q2008512,1508357
http://www.wikidata.org/entity/Q2008249,1508407
http://www.wikidata.org/entity/Q1754413,1600055
http://www.wikidata.org/entity/Q586263,1600105
http://www.wikidata.org/entity/Q1772647,1600154
http://www.wikidata.org/entity/Q1754431,1600204
http://www.wikidata.org/entity/Q1754422,1600212
http://www.wikidata.org/entity/Q1647054,1600238
http://www.wikidata.org/entity/Q368933,1600253
http://www.wikidata.org/entity/Q1117969,1600279
http://www.wikidata.org/entity/Q180215,1600303
http://www.wikidata.org/entity/Q1800704,1600402
http://www.wikidata.org/entity/Q906717,1600501
http://www.wikidata.org/entity/Q1772692,1600535
http://www.wikidata.org/entity/Q1772625,1600550
http://www.wikidata.org/entity/Q1994845,1600600
http://www.wikidata.org/entity/Q1800762,1600709
http://www.wikidata.org/entity/Q1772675,1600808
http://www.wikidata.org/entity/Q1784836,1700251
http://www.wikidata.org/entity/Q1802133,1700301
http://www.wikidata.org/entity/Q1802116,1700350
http://www.wikidata.org/entity/Q22060165,1700400
http://www.wikidata.org/entity/Q22060164,1700707
http://www.wikidata.org/entity/Q1948373,1701002
http://www.wikidata.org/entity/Q2011594,1701051
http://www.wikidata.org/entity/Q1802077,1701101
http://www.wikidata.org/entity/Q1801778,1701309
http://www.wikidata.org/entity/Q1801734,1701903
http://www.wikidata.org/entity/Q593716,1702000
http://www.wikidata.org/entity/Q625279,1702109
http://www.wikidata.org/entity/Q957649,1702158
http://www.wikidata.org/entity/Q1783966,1702208
http://www.wikidata.org/entity/Q609102,1702307
http://www.wikidata.org/entity/Q1801696,1702406
http://www.wikidata.org/entity/Q1801708,1702554
http://www.wikidata.org/entity/Q1801726,1702703
http://www.wikidata.org/entity/Q1801670,1702901
http://www.wikidata.org/entity/Q1801746,1703008
http://www.wikidata.org/entity/Q2011614,1703057
http://www.wikidata.org/entity/Q512635,1703073
http://www.wikidata.org/entity/Q1801737,1703107
http://www.wikidata.org/entity/Q2011573,1703206
http://www.wikidata.org/entity/Q599288,1703305
http://www.wikidata.org/entity/Q1801749,1703602
http://www.wikidata.org/entity/Q1801741,1703701
http://www.wikidata.org/entity/Q1801703,1703800
